VPID,Gender,Age,Height,Weight,VR Experience,VR Usage,First Person Video Games,Motion Sickness,Presence: Somehow I felt that the virtual world surrounded me.,Presence: I felt like I was just perceiving pictures.,Presence: I was completely captivated by the virtual world.,Presence: The virtual world seemed more realistic than the real world.,Presence: I still paid attention to the real environment.,Presence: I felt present in the virtual space.,Presence: I was not aware of my real environment.,"Presence: I had a sense of acting in the virtual space, rather than operating something from outside.","Presence2: In the computer generated world I had a sense of ""being there"".",Presence 3: I did not feel present in the virtual space.,Presence 4: How real did the virtual world seem to you?,Presence 5: How much did your experience in the virtual environment seem consistent with your real world experience ?,Presence 6: How real did the virtual world seem to you?,"Presence 7: How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds, room temperature, other people, etc.)?"
2,1,24,180,95,1,3,2,2,5,3,5,1,4,6,2,7,5,2,3,3,3,3
4,1,20,183,90,1,3,3,3,7,3,5,1,6,5,2,5,5,2,5,2,4,4
5,1,26,170,70,1,3,2,1,6,6,7,1,2,6,5,6,7,2,5,5,3,3
6,1,30,185,67,1,3,2,3,5,2,4,1,2,5,4,5,5,5,5,4,2,2
7,1,22,180,86,1,4,4,3,6,2,5,2,5,5,3,5,5,3,4,5,3,3
8,1,23,179,72,1,3,1,3,2,1,3,1,3,4,3,4,5,3,4,3,4,4
9,1,25,172,68,1,4,1,2,7,2,-9,2,4,6,3,6,6,6,4,5,3,2
10,1,20,174,57,1,3,2,2,6,1,3,1,4,3,5,6,5,3,3,3,6,2
11,1,23,184,87,2,4,3,3,6,3,6,1,2,6,5,3,6,3,5,3,2,4
12,1,25,185,81,2,4,1,3,4,5,5,1,6,5,6,7,4,7,3,6,3,1
13,1,34,181,82,1,4,4,3,6,3,4,2,2,5,3,-1,5,5,4,4,3,3
