Gender,Age,Height,Weight,VPID,VR Experience,VR Usage,First Person Video Games,Motion Sickness,Presence: Somehow I felt that the virtual world surrounded me.,Presence: I felt like I was just perceiving pictures.,Presence: I was completely captivated by the virtual world.,Presence: The virtual world seemed more realistic than the real world.,Presence: I still paid attention to the real environment.,Presence: I felt present in the virtual space.,Presence: I was not aware of my real environment.,"Presence: I had a sense of acting in the virtual space, rather than operating something from outside.","Presence2: In the computer generated world I had a sense of ""being there"".",Presence 3: I did not feel present in the virtual space.,Presence 4: How real did the virtual world seem to you?,Presence 5: How much did your experience in the virtual environment seem consistent with your real world experience ?,Presence 6: How real did the virtual world seem to you?,"Presence 7: How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds, room temperature, other people, etc.)?"
1,24,195,68,'08,2,4,3,3,7,2,7,1,5,5,2,7,5,1,5,6,3,2
1,24,180,72,'09,1,4,3,2,6,3,4,3,2,5,6,6,6,6,5,4,5,2
1,22,175,72,10,2,4,2,3,7,1,6,5,1,7,1,7,6,7,4,6,4,6
1,21,181,71,11,2,4,4,2,3,2,6,1,6,4,3,5,5,4,5,5,3,3
1,27,184,74,12,1,3,1,3,6,3,4,2,2,5,6,5,5,3,5,3,5,5
1,34,178,78,13,2,4,4,3,6,2,5,1,2,5,5,3,5,5,6,5,5,2
1,19,184,91,14,1,3,2,3,6,2,4,2,1,5,3,4,5,2,5,3,5,3
1,22,178,60,15,1,3,2,2,5,2,4,1,6,4,2,3,3,4,2,4,6,2
1,29,185,105,16,2,4,1,3,5,3,3,1,6,3,1,2,4,3,5,5,6,2
1,24,183,72,17,1,3,3,3,6,3,5,1,2,5,3,4,4,5,2,5,6,2
